question,choice_A,choice_B,choice_C,choice_D,answer,category,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
Which of the following represents the simplified sequence of the phosphorus cycle in a terrestrial ecosystem?, Rock minerals → Soil → Producers → Consumers → Decomposers, Soil → Producers → Rock minerals → Consumers → Decomposers, Rock minerals → Decomposers → Producers → Consumers, None of the other choices,A,,val,-2.3315491676330566,-0.02534292573514192,-8.5625,-7.4375,-6.112500190734863,-5.442708492279053,-4.556640625,-3.8609375953674316,-3.5504262447357178,-3.032526969909668,-2.636263132095337,-2.328835964202881,-1.859375,-1.359375,-0.8262695074081421,-0.664306640625,-0.44146728515625,-0.28911131620407104,-0.22838245332241058,-0.1269906908273697,-0.01839192770421505,0.12738396227359772
What solutions does the electrometer in a dissolved oxygen analyzer contain?, Potassium hydroxide solution, Magnesium hydroxide solution, Calcium oxide solution, Calcium hydroxide solution,A,,val,-4.853800296783447,-0.06559189590247902,-13.125,-12.28125,-11.75,-10.390625,-8.375,-7.59375,-6.8701171875,-6.293402671813965,-5.754296779632568,-4.852376461029053,-2.6875,-2.421875,-2.2552082538604736,-2.099609375,-1.7073568105697632,-1.4284318685531616,-1.2166748046875,-1.0441622734069824,-0.9043945074081421,-0.614013671875
Who first used the term regression?, Pearson, Spearman, Galton, Newton,C,,val,-4.237117290496826,-0.09853761140690294,-12.0,-12.0,-12.0,-8.9375,-7.520833492279053,-7.520833492279053,-6.21875,-6.21875,-5.076562404632568,-4.236856937408447,-4.09375,-4.09375,-4.09375,-2.625,-2.0690104961395264,-2.0690104961395264,-1.60888671875,-1.60888671875,-1.2490234375,-0.9542643427848816
The concept that an individual needs to recognize or map out common traits between situations to solve problems originates from which theory of intelligent behavior?, Guilfords, None of the other choices, Gardners, Thurstones,B,,val,-3.833778142929077,-0.03091756566878288,-9.6875,-8.475000381469727,-7.848214149475098,-7.074999809265137,-6.576822757720947,-5.815625190734863,-5.308363914489746,-4.693359375,-4.334339618682861,-3.8355908393859863,-3.2734375,-2.3359375,-2.0669643878936768,-1.7023437023162842,-1.46826171875,-1.150292992591858,-0.9845760464668274,-0.7474365234375,-0.6233797669410706,-0.45701172947883606
When does terminalisation of chiasmata occur?, Pachytene, Zygotene, Leptotene, Diakinesis,D,,val,-4.24400520324707,-0.08007556987258624,-11.5625,-11.5625,-9.90625,-9.208333015441895,-7.953125,-7.050000190734863,-6.221354007720947,-5.400669574737549,-4.763916015625,-4.252170085906982,-2.078125,-2.078125,-1.453125,-1.234375,-0.9014892578125,-0.700878918170929,-0.5218912959098816,-0.3817661702632904,-0.27056884765625,-0.18017578125
"P can complete a project in 12 days, working 8 hours each day. Q can complete the same project in 8 days, working 10 hours each day. How many days will it take for P and Q to complete the project if they collaborate, working 8 hours a day?",6  6/11,5  6/11,6  5/11,5  5/11,D,,val,-0.8165974617004395,-0.006004393100738525,-5.315104007720947,-3.4264323711395264,-2.552300453186035,-1.9985758066177368,-1.6301106214523315,-1.3725179433822632,-1.1822742223739624,-1.037223219871521,-0.9225525856018066,-0.8166859149932861,-2.66796875,-1.4274393320083618,-0.9391411542892456,-0.6818949580192566,-0.5151122808456421,-0.39508056640625,-0.3007405698299408,-0.2216440886259079,-0.1497802734375,-0.054595448076725006
Which system model creates graphical representations of software systems using a series of diagram types?, UML, XMI, SysML, None of the mentioned,C,,val,-3.840618133544922,-0.04518374274758732,-8.625,-8.229166984558105,-7.8671875,-6.963541507720947,-6.504464149475098,-5.729166507720947,-5.362500190734863,-4.72265625,-4.400540828704834,-3.8358073234558105,-2.0,-1.5026041269302368,-1.3388671875,-1.0074869394302368,-0.8579450249671936,-0.5978461503982544,-0.48259276151657104,-0.2944132387638092,-0.2170785814523697,-0.0464680977165699
_______ jobs are geared for scalability but fall short on latency., Mapreduce, Drill, None of the other choices, Oozie,A,,val,-5.080524921417236,-0.07697765032450359,-12.0,-11.375,-10.708333015441895,-10.109375,-8.71875,-8.026785850524902,-7.283203125,-6.598090171813965,-6.009765625,-5.077718257904053,-2.921875,-2.5859375,-2.3854167461395264,-2.28515625,-1.8450521230697632,-1.7159597873687744,-1.453125,-1.2469618320465088,-1.0656249523162842,-0.7630208134651184
What structure passes through the Foramen Rotundum?, Optic Nerve., None of the other choices, Maxillary Nerve., Facial Nerve.,C,,val,-2.6099724769592285,-0.04578899082384611,-8.9375,-8.71875,-7.5,-6.265625,-5.129687309265137,-4.3466796875,-3.734375,-3.270477294921875,-2.907090902328491,-2.616381883621216,-2.1875,-2.02734375,-1.33984375,-0.99237060546875,-0.767138659954071,-0.5990803837776184,-0.4610421359539032,-0.354095458984375,-0.2474772185087204,-0.14890137314796448
"Hezbollah is a Muslim entity perceived as both a political organization and a terrorist group, as well as a(n):", ally, None of the other choices, force multiplier, religious group,B,,val,-3.2341017723083496,-0.032341017723083496,-10.65625,-9.078125,-7.791666507720947,-6.775390625,-5.6477274894714355,-5.069711685180664,-4.5703125,-4.115004539489746,-3.7225534915924072,-3.233731269836426,-2.7421875,-2.50390625,-1.9420572519302368,-1.5501708984375,-1.1141135692596436,-0.9116868376731873,-0.7394775152206421,-0.6010096073150635,-0.48264673352241516,-0.31207275390625
Who authored Dialectic of Enlightenment?, Max Horkheimer and Theodor Adorno, None of the other choices, Jean Baudrillard and Pierre Bourdieu, Jean Baudrillard and Max Horkheimer,A,,val,-3.44122314453125,-0.07169214884440105,-10.4375,-10.4375,-8.90625,-8.90625,-6.901041507720947,-5.564453125,-5.564453125,-4.591406345367432,-3.9296875,-3.4388949871063232,-6.3125,-6.3125,-3.9296875,-3.9296875,-2.5078125,-1.7451171875,-1.7451171875,-1.264062523841858,-0.9264323115348816,-0.6255580186843872
Which philosopher held the belief that matter is continuous and not composed of atoms?, Democritus, Lavoisier, Aristotle, Dalton,C,,val,-2.687427520751953,-0.03490165611366173,-7.65625,-6.921875,-6.515625,-5.8125,-4.8191962242126465,-4.369140625,-3.9895832538604736,-3.403409004211426,-3.1346843242645264,-2.6879794597625732,-1.1328125,-0.984375,-0.751953125,-0.6527343988418579,-0.4550432562828064,-0.383575439453125,-0.3014594316482544,-0.17331765592098236,-0.1097208634018898,0.0128173828125
What is the disorder called when the body is unable to distinguish between its own cells and foreign substances?, Active immunity, Autoimmunity, Passive immunity, Immunodeficiency,B,,val,-1.9884992837905884,-0.0216141226498977,-12.25,-6.880208492279053,-5.243750095367432,-4.455357074737549,-3.7916667461395264,-3.2634942531585693,-2.839393138885498,-2.4993488788604736,-2.2223403453826904,-1.9896304607391357,-2.625,-1.3333333730697632,-0.7632812261581421,-0.4545200765132904,-0.2658420205116272,-0.13441051542758942,-0.033203125,0.04596354067325592,0.12189798057079315,0.23262746632099152
What is the term for the hypothetical pressure assumed to be acting on the piston during the entire power stroke?, brake power, indicated power, mean effective pressure, none of the mentioned,A,,val,-2.8843860626220703,-0.032408832164292925,-7.84375,-7.5078125,-6.916666507720947,-5.935546875,-5.185156345367432,-4.490560054779053,-3.9581472873687744,-3.550048828125,-3.193305015563965,-2.8852295875549316,-1.55078125,-1.1162109375,-0.813262939453125,-0.5938949584960938,-0.44181519746780396,-0.3344065248966217,-0.2386430948972702,-0.15290451049804688,-0.0718960240483284,0.0063873291946947575
In welche der folgenden beiden Kategorien können organisatorische Prozessressourcen unterteilt werden?, Vorlagen sowie Prozesse und Verfahren, Projektdateien und Unternehmenswissensbasis, Wissensbasis des Unternehmens sowie Prozesse und Verfahren, Standards sowie Prozesse und Verfahren,C,,val,-3.4689741134643555,-0.03690397993047187,-12.5,-9.583333015441895,-8.75,-7.208333492279053,-6.3359375,-5.958333492279053,-5.035555839538574,-4.619120121002197,-3.962559223175049,-3.4672393798828125,-2.40625,-1.5169271230697632,-1.2939453125,-1.0013021230697632,-0.740020751953125,-0.6420627236366272,-0.4956720471382141,-0.4270223081111908,-0.3056117594242096,-0.1533966064453125
Patients using heparin will show elevated levels of ________ on their blood test., mean cell volume, partial thromboplastin time, hemoglobin, thrombocytes,B,,val,-2.8810653686523438,-0.03946664888564855,-8.125,-6.8125,-6.34375,-5.596354007720947,-5.189732074737549,-4.472222328186035,-4.199999809265137,-3.5882160663604736,-3.316293478012085,-2.877213478088379,-1.5546875,-1.1666666269302368,-1.03515625,-0.822265625,-0.7069004774093628,-0.5312025547027588,-0.46382445096969604,-0.3463999330997467,-0.2806912958621979,-0.15498453378677368
"Which work is Gilbert and Gubar’s The Madwoman in the Attic a ""rewrite"" of?", Adam Bede, Wuthering Heights, Pamela, Jane Eyre,D,,val,-3.136876344680786,-0.037343766008104594,-10.25,-8.671875,-7.807291507720947,-6.71484375,-5.865624904632568,-5.182291507720947,-4.4676690101623535,-3.917694091796875,-3.4836883544921875,-3.1360976696014404,-2.8046875,-2.197265625,-1.6005859375,-1.1798095703125,-0.92333984375,-0.7450358271598816,-0.6056082844734192,-0.48486328125,-0.3693576455116272,-0.26835936307907104
"If possessing a gene for Parkinson’s disease ensures its development, how can the presence of this gene be described?", None of the other choices, necessary cause., contributory cause., sufficient cause.,D,,val,-3.299788236618042,-0.031426554634457544,-11.59375,-9.421875,-7.885416507720947,-6.837890625,-6.002343654632568,-5.28125,-4.7109375,-4.252685546875,-3.8357205390930176,-3.2988688945770264,-2.96484375,-2.11328125,-1.6041666269302368,-1.317626953125,-1.0391113758087158,-0.8227131962776184,-0.6510533094406128,-0.495941162109375,-0.3548990786075592,-0.1845935583114624
Who is the author of the book titled ‘Social Reality of Crime’?, William Chambliss, Karl Marx, Richard Quinney, None of the above,C,,val,-2.893982410430908,-0.04134260586329869,-7.625,-7.5,-6.8125,-6.556250095367432,-5.300223350524902,-4.787109375,-4.365017414093018,-3.662642002105713,-3.3689777851104736,-2.894199848175049,-4.5,-4.3125,-2.4150390625,-1.9607422351837158,-1.3677455186843872,-1.165283203125,-1.0047743320465088,-0.7137784361839294,-0.5970051884651184,-0.3758370578289032
How does the formation of HBr proceed?," Transition complexes, non chain reaction mechanism"," Free radical, chain reaction mechanism"," Molecular intermediates, non chain reaction mechanism"," Free radical, non chain reaction mechanism",B,,val,-3.719740152359009,-0.08086391635563063,-7.4375,-7.4375,-7.03125,-6.78125,-6.3046875,-6.3046875,-5.556250095367432,-4.842447757720947,-4.243861675262451,-3.72186279296875,-1.3359375,-1.3359375,-0.8994140625,-0.75,-0.5762939453125,-0.5762939453125,-0.4678710997104645,-0.3524576723575592,-0.21728515625,-0.09002685546875
The use of the word-association test demonstrated that it was feasible to, systematically study creative illness., systematically study the unconscious mind., probe the ultimate meanings of dreams., segregate neurotic and psychotic individuals from normal individuals.,B,,val,-3.6689748764038086,-0.052413926805768694,-9.75,-8.78125,-8.114583015441895,-7.081250190734863,-6.572916507720947,-6.015625,-5.087673664093018,-4.692187309265137,-4.318536758422852,-3.668492317199707,-2.328125,-1.94921875,-1.7291666269302368,-1.007568359375,-0.8195393681526184,-0.6466587781906128,-0.3775227963924408,-0.2788330018520355,-0.18814364075660706,0.09140249341726303
"Which of the following French possessions was not integrated into India on November 1, 1954?", Yanam, Karikal, Mahe, Chandranagore,A,,val,-2.541780710220337,-0.028559333822700414,-10.15625,-8.8515625,-7.53125,-6.20703125,-5.215624809265137,-4.39697265625,-3.7945382595062256,-3.331878662109375,-2.965928792953491,-2.5429630279541016,-2.21875,-2.123046875,-1.783203125,-1.32373046875,-1.032861351966858,-0.8213297724723816,-0.6578194499015808,-0.513092041015625,-0.3955349326133728,-0.200637087225914
Under which conditions is an SQL view considered updatable?, query does not have group by or having clause, from clause has 1 relation," select clause contains relation attribute names but not have expressions, aggregates, or distinct specification", All of the mentioned,D,,val,-3.2021191120147705,-0.05003311112523079,-9.9375,-7.359375,-6.322916507720947,-5.640625,-5.193749904632568,-4.65234375,-4.260044574737549,-3.8828125,-3.5607638359069824,-3.20623779296875,-1.625,-0.9921875,-0.6951497197151184,-0.4906005859375,-0.3436523377895355,-0.241455078125,-0.1327427476644516,-0.04974365234375,0.0482313372194767,0.16059570014476776
How are the address and data buses eliminated in external memory types of microcontrollers?, Through multiplexing by external latch & DLE signal, Through demultiplexing by external latch & DLE signal, Through demultiplexing by external latch & ALE signal, Through multiplexing by external latch & ALE signal,D,,val,-4.0530853271484375,-0.05003809045862268,-11.0,-10.479166984558105,-9.8125,-8.088541984558105,-7.339285850524902,-6.166666507720947,-5.684374809265137,-4.91796875,-4.607572078704834,-4.058333396911621,-3.6875,-2.7083332538604736,-2.52734375,-2.0201823711395264,-1.67578125,-1.1963975429534912,-1.0158202648162842,-0.72021484375,-0.5972055196762085,-0.3701823055744171
What effects of medicines are typically documented during drug proving?, Curative actions, Counter actions, None of the other choices, Secondary actions,C,,val,-5.7051496505737305,-0.08035422043061592,-13.8125,-12.0625,-11.166666984558105,-9.578125,-8.556249618530273,-7.822916507720947,-7.2254462242126465,-6.740234375,-6.206597328186035,-5.703125,-4.25,-3.2109375,-2.8125,-2.544921875,-2.254687547683716,-2.03125,-1.7008928060531616,-1.421875,-1.2018228769302368,-1.025390625
Which compound does not produce effervescence when reacting with NaHCO3?, C6H5COO, Picric acid, CH3COOH, None of the other choices,D,,val,-1.8486833572387695,-0.0243247810162996,-7.03125,-5.578125,-5.08203125,-4.390625,-3.45556640625,-3.139756917953491,-2.651455879211426,-2.46435546875,-2.1123046875,-1.8482666015625,-0.83203125,-0.5494791865348816,-0.47900390625,-0.3402303159236908,-0.246368408203125,-0.2124294638633728,-0.11752042174339294,-0.0663859024643898,0.02178083173930645,0.0971832275390625
Who introduced the concept that the unconscious is structured 'like a language'?, None of the other choices, Carl Jung, Ferdinand de Saussure, Jaques Lacan,D,,val,-2.994499683380127,-0.03992666244506836,-7.6875,-7.5,-7.25,-6.0,-5.354166507720947,-4.892857074737549,-4.200520992279053,-3.833984375,-3.5232598781585693,-2.992056131362915,-5.21875,-4.3828125,-3.3567707538604736,-2.1332030296325684,-1.7527669668197632,-1.4786550998687744,-1.0900607109069824,-0.936328113079071,-0.7901278138160706,-0.46063703298568726
"Who is the author of the book ""Elementary Forms of Religious Life""?", E.B. Tylor, None of the other choices, Mircea Eliade, Max Weber,B,,val,-2.767723321914673,-0.040111932201661926,-10.0,-9.15625,-7.75,-6.806250095367432,-5.220982074737549,-4.646484375,-4.192708492279053,-3.500532627105713,-3.2203776836395264,-2.7703857421875,-5.5625,-3.90625,-2.201416015625,-1.7052733898162842,-1.1304408311843872,-0.9320068359375,-0.7711588740348816,-0.5141157507896423,-0.4139811098575592,-0.2189592570066452
"How should an IPS appliance be correctly deployed in a network to ensure that identified threat traffic is blocked, and all traffic is halted if the IPS fails?", Promiscuous; fail closed, Promiscuous; fail open, Inline; fail open, Inline; fail closed,D,,val,-3.349099636077881,-0.027451636361294104,-10.875,-9.75,-7.80859375,-6.589488506317139,-5.7276787757873535,-5.041360378265381,-4.522265434265137,-4.068783760070801,-3.688852071762085,-3.352252721786499,-4.3359375,-2.9453125,-2.13671875,-1.5838955640792847,-1.2139369249343872,-0.9150390625,-0.686572253704071,-0.5036090612411499,-0.34814453125,-0.19575026631355286
What principle does a Carnot engine follow?, Isothermal process, Isoentropic process, Isothermal and Isoentropic process, None of the mentioned,A,,val,-3.0886292457580566,-0.060561357759961895,-8.5,-8.5,-7.875,-6.625,-5.439453125,-5.439453125,-4.662499904632568,-4.01953125,-3.53125,-3.0917816162109375,-1.7265625,-1.7265625,-0.8365478515625,-0.5179850459098816,-0.30645751953125,-0.30645751953125,-0.17680664360523224,-0.0503336600959301,0.0651157945394516,0.159027099609375
Which compound produces the most stable carbonium ion upon dehydration?, CH3CH OH CH2 CH3, (CH3)3COH, CH3CH2CH2CH2OH, (CH3)2CHCH2OH,B,,val,-3.0817558765411377,-0.04340501234564983,-7.03125,-6.609375,-6.3125,-6.0625,-5.518750190734863,-4.934895992279053,-4.4520087242126465,-4.083984375,-3.6966145038604736,-3.0817205905914307,-1.59375,-1.24609375,-1.1171875,-0.90478515625,-0.6849609613418579,-0.52587890625,-0.3809988796710968,-0.2606201171875,-0.1652560830116272,0.007191051263362169
You can back up MongoDB by copying its data files directly. Can you identify the correct statement?, The mechanics of snapshots depend on the underlying storage system," If your storage system does not support snapshots, you can copy the files directly using cp, rsync, or a similar tool"," To get a consistent snapshot of a sharded system, you must disable the balancer", All of the mentioned,A,,val,-3.56007719039917,-0.038696491199990975,-9.375,-8.5,-7.506249904632568,-6.551339149475098,-5.807291507720947,-5.510937690734863,-5.014322757720947,-4.447265625,-3.967529296875,-3.560112953186035,-2.578125,-2.1223957538604736,-1.8859374523162842,-1.5245535373687744,-1.2535806894302368,-1.1300537586212158,-0.89776611328125,-0.7014334797859192,-0.5441741943359375,-0.4051513671875
Who identified the six features of the caste system?, Karve, Ghurye, Srinivas, Dubey,B,,val,-3.661504030227661,-0.06780563018940113,-8.875,-8.875,-8.3125,-7.75,-7.34375,-6.207812309265137,-5.35546875,-4.646763324737549,-4.109130859375,-3.661729574203491,-1.703125,-1.703125,-0.96630859375,-0.5680338740348816,-0.358154296875,-0.20839843153953552,-0.0978190079331398,-0.012974330224096775,0.0648193359375,0.2069227397441864
Why would it be unethical to destroy species?, it may still have certain unknown values, it is a product of long evolutionary history, it forms a part of rich biological diversity, all of the above,D,,val,-4.177993297576904,-0.07883006221843215,-9.0625,-9.0625,-7.6875,-7.09375,-6.7421875,-6.7421875,-6.103125095367432,-5.375,-4.753348350524902,-4.176513671875,-2.28125,-2.28125,-1.94140625,-1.5130208730697632,-1.21142578125,-1.21142578125,-0.9891601800918579,-0.8250172734260559,-0.6594456434249878,-0.4871711730957031
"You predict that a tablet of PEPCID AC can neutralize more stomach acid than a tablet of Alka-Seltzer. If you were to place one tablet of each antacid in separate beakers containing acid with an initial pH of 2, which of the following experimental outcomes would support your prediction?"," After 1 hour, the pH of the solution in the PEPCID AC beaker was 7.9 and the pH of the solution in the Alka-Seltzer beaker was 9.6."," After 1 hour, the pH of the solution in the PEPCID AC beaker was equal to that of the pH of the solution in the Alka-Seltzer beaker."," After 1 hour, the pH of the solution in the PEPCID AC beaker was 9.2 and the pH of the solution in the Alka-Seltzer beaker was 8.3.", It took 3 minutes for the PEPCID AC tablet to fully dissolve and it took 5 minutes for the Alka-Seltzer tablet to fully dissolve.,C,,val,-2.1176493167877197,-0.01074948891770416,-8.901041984558105,-6.864583492279053,-5.73350715637207,-4.825520992279053,-4.1053385734558105,-3.515733480453491,-3.055896520614624,-2.687255859375,-2.3911020755767822,-2.1173510551452637,-2.75390625,-1.8170572519302368,-1.3120083808898926,-0.9687830805778503,-0.7522074580192566,-0.5941789150238037,-0.4639093279838562,-0.3513145446777344,-0.25050297379493713,-0.1385728120803833
"It has been identified as cultural property on the UNESCO World Heritage list, described as ""an expression of the astrological skills and cosmological concepts of the court of a scholarly prince at the end of the Mughal period.""", None of the other choices, Agra Fort, Red Fort, Hawa Mahal,A,,val,-3.0959436893463135,-0.018877705422843376,-10.578125,-8.9375,-7.533653736114502,-6.526654243469238,-5.604403495788574,-5.002403736114502,-4.435156345367432,-3.8671875,-3.48974609375,-3.09613037109375,-2.408203125,-2.0380859375,-1.553786039352417,-1.2226203680038452,-0.935814619064331,-0.758902907371521,-0.6115570068359375,-0.4552743136882782,-0.34267404675483704,-0.21628709137439728
What is the role of a transaction coordinator in distributed systems?, starts the execution of transaction, coordinates the termination of the transaction, breaks the transaction into number of sub transactions, all of the mentioned,A,,val,-2.1754465103149414,-0.03246935090022301,-8.1875,-6.3125,-5.510416507720947,-5.015625,-4.235937595367432,-3.681640625,-3.2762277126312256,-2.9541015625,-2.644965171813965,-2.176669120788574,-0.50390625,-0.30517578125,-0.2135009765625,-0.148834228515625,-0.05305175855755806,0.01633707620203495,0.0898960679769516,0.1543426513671875,0.2066379189491272,0.2954878509044647
"In baseball, a strike happens if either (1) the batter swings at the ball and misses or (2) the batter refrains from swinging at the ball when it passes through the strike zone. What kind of concept does the notion of a strike exemplify?", conjunctive, disjunctive, prototypical, natural,B,,val,-1.8512266874313354,-0.01179125278618685,-8.068750381469727,-6.334374904632568,-5.068749904632568,-4.165234565734863,-3.456430196762085,-3.0122227668762207,-2.6496310234069824,-2.342594861984253,-2.0920774936676025,-1.8508336544036865,-3.018749952316284,-1.898046851158142,-1.3494141101837158,-1.033880591392517,-0.7852689027786255,-0.6356791853904724,-0.5090874433517456,-0.39931878447532654,-0.29783034324645996,-0.18796950578689575
Another term for exploratory learning is:, None of the other choices, Reinforcement learning, Active learning, Unsupervised learning,D,,val,-3.4995100498199463,-0.07141857244530503,-11.125,-11.125,-8.53125,-8.53125,-6.901041507720947,-5.8125,-5.8125,-4.788281440734863,-4.045247554779053,-3.4956753253936768,-1.4140625,-1.4140625,-0.958984375,-0.958984375,-0.6658528447151184,-0.4066162109375,-0.4066162109375,-0.22802734375,-0.0982259139418602,0.0642438605427742
What characteristics of molecular sieves make them suitable for exclusion-based separation?, Large inner surface area, Variable framework charge, Ability to distinguish materials on the basis of their size, High thermal stability,C,,val,-3.2900516986846924,-0.03963917709258666,-11.9375,-10.6875,-9.635416984558105,-7.253125190734863,-6.427083492279053,-5.714285850524902,-4.67881965637207,-4.261328220367432,-3.883389472961426,-3.286543607711792,-3.3125,-2.3671875,-1.8815103769302368,-1.244482398033142,-1.0297037363052368,-0.8683035969734192,-0.6100260615348816,-0.49042969942092896,-0.38973721861839294,-0.21799880266189575
What is the overall resistance when heat transfer occurs through a series of flat plates?, Logarithmic mean of resistances, Sum of the resistances, None of the other choices, Average of resistances,B,,val,-3.0474021434783936,-0.03857471067694169,-11.125,-8.65625,-7.9140625,-6.333333492279053,-5.700892925262451,-4.77256965637207,-4.386328220367432,-3.7552082538604736,-3.495042085647583,-3.0464844703674316,-4.90625,-2.30859375,-1.9189453125,-1.470703125,-1.2212611436843872,-0.8778212070465088,-0.744921863079071,-0.5182291865348816,-0.42397835850715637,-0.25572916865348816
"After configuring VTP, if you're not receiving updates as expected, what command can you use to check the number of VTP advertisements being sent?", None of the other choices, show vtp counters, showvtp status, showvtp statistics,B,,val,-2.4629340171813965,-0.020524450143178306,-6.640625,-6.300000190734863,-5.71875,-5.005681991577148,-4.4229912757873535,-3.9076287746429443,-3.4595704078674316,-3.0852582454681396,-2.744271993637085,-2.462240219116211,-2.42578125,-1.567968726158142,-1.1634521484375,-0.8754661083221436,-0.6641148328781128,-0.5090619325637817,-0.37567138671875,-0.26026451587677,-0.15871956944465637,-0.06040375679731369
"The statement ""Destiny of India is being shaped in her classrooms"" is found in which document?", National Policy on Education (1986), National Knowledge Commission (2005), University Education Commission (1948-49), Education Commission (1964-66),D,,val,-3.426449775695801,-0.039384480180411505,-12.8125,-9.510416984558105,-7.84375,-6.7589287757873535,-6.032986164093018,-5.451704502105713,-4.80348539352417,-4.286718845367432,-3.8125,-3.4265007972717285,-2.796875,-1.5091146230697632,-1.1160156726837158,-0.8607701063156128,-0.666015625,-0.4944957494735718,-0.3602764308452606,-0.23736979067325592,-0.12028951942920685,-0.01099917758256197
"Given a solid model of a monolith with rectangular dimensions 1.000 units x 4.000 units x 9.00 units, which of the following options best represents its total surface area (in square units)?", 1.00 x 10^2 units^2., 1.0 x 10^2 units^2., 9.80 x 10^1 units^2., 9.8 x 10^1 units^2.,C,,val,-2.120743751525879,-0.015148169653756278,-7.4921875,-6.159722328186035,-5.2020087242126465,-4.509868621826172,-3.9886066913604736,-3.4991917610168457,-3.044806957244873,-2.6637682914733887,-2.363003730773926,-2.122039794921875,-5.91796875,-3.2994792461395264,-2.313197612762451,-1.6998611688613892,-1.3279520273208618,-1.0753720998764038,-0.8826760649681091,-0.7227376103401184,-0.58050537109375,-0.4260851740837097
The genes of the Tobacco Mosaic Virus are ______., Double-stranded DNA, None of the other choices, Single-stranded RNA, Double-stranded RNA,C,,val,-3.298325777053833,-0.06342934186641987,-10.8125,-9.34375,-8.135416984558105,-6.7890625,-5.875,-5.216145992279053,-4.6640625,-4.11865234375,-3.664442300796509,-3.298776149749756,-1.140625,-0.9609375,-0.8333333134651184,-0.72802734375,-0.5648437738418579,-0.44482421875,-0.3455636203289032,-0.2569580078125,-0.1810980886220932,-0.07548828423023224
"Assertion: Lysosomes can break down carbohydrates, proteins, lipids, and nucleic acids. Reason: Lysosomes contain an abundance of hydrolytic enzymes, including lipases, proteases, and carbohydrases.", If both assertion and reason are true but reason is not the correct explanation of assertion., None of the other choices, If assertion is true but reason is false., If both assertion and reason are false.,B,,val,-1.2350974082946777,-0.009015309549596187,-5.46875,-4.546875,-3.528245210647583,-2.90625,-2.373934745788574,-2.059044361114502,-1.8036458492279053,-1.5507882833480835,-1.392531156539917,-1.234642744064331,-1.109375,-0.687469482421875,-0.41073843836784363,-0.29562556743621826,-0.1966552734375,-0.1294790357351303,-0.06833495944738388,0.00448521226644516,0.06076597422361374,0.12790194153785706
"During the Fourth Anglo-Mysore War in 1799, Tipu Sultan was defeated and killed. Which of the following did not receive a portion of Tipu’s territories?", The Nizam, The English, The Marathas, None of the above,C,,val,-1.6702404022216797,-0.012372151127567997,-6.239583492279053,-5.095982074737549,-4.203125,-3.7578125,-3.250868082046509,-2.7649147510528564,-2.4573047161102295,-2.1298575401306152,-1.873104214668274,-1.6706064939498901,-2.7877604961395264,-1.5334821939468384,-1.0317050218582153,-0.8030831217765808,-0.6048312783241272,-0.4599498510360718,-0.3606933653354645,-0.250732421875,-0.150146484375,-0.04597102105617523
In which phase of laboratory testing does centrifugation of a blood specimen occur?, postexamination/postanalytical, examination/analytical, preexamination/preanalytical, notification/reporting,C,,val,-2.8931543827056885,-0.03709172285520113,-11.25,-9.5625,-7.96875,-5.938802242279053,-5.340401649475098,-4.532986164093018,-4.212500095367432,-3.5908203125,-3.330829381942749,-2.8908121585845947,-2.71875,-2.2682292461395264,-1.845703125,-1.2945963144302368,-1.0802175998687744,-0.7555338740348816,-0.6377929449081421,-0.449462890625,-0.36500900983810425,-0.19811198115348816
What is the objective of the casework process?, To diagnose the problem of the client, To provide immediate relief to the client, To engage the client with his/her problem, To terminate the relationship between the client and the agency,C,,val,-3.1683053970336914,-0.06465929381701412,-12.5625,-12.5625,-9.515625,-8.260416984558105,-6.59765625,-5.460156440734863,-4.678385257720947,-4.034598350524902,-3.5484619140625,-3.168836832046509,-1.921875,-1.921875,-1.318359375,-1.009765625,-0.709228515625,-0.509960949420929,-0.3689778745174408,-0.2643694281578064,-0.1395263671875,-0.0359157994389534
What is a writ of habeas corpus associated with?, An order of freedom of speech, Quashing the order of an administrative authority, Anticipatory bail, None of the other choices,D,,val,-2.8288893699645996,-0.051434352181174536,-12.875,-10.875,-8.182291984558105,-6.64453125,-5.497656345367432,-4.690755367279053,-4.032435894012451,-3.5303192138671875,-3.1380615234375,-2.8242554664611816,-7.25,-3.8984375,-2.7747395038604736,-2.07244873046875,-1.650732398033142,-1.3544515371322632,-1.1244070529937744,-0.931365966796875,-0.7725422978401184,-0.6218506097793579
