question,предмет,выбор,отвечать,sheet,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
 Вы заметили поражение на губной альвеолярной слизистой оболочке нижнего правого бокового резца у одного из ваших пациентов и решили взять биопсию для отправки на исследование в патологоанатомическое бюро полости рта. Для проведения безболезненной биопсии какого нерва потребуется местная анестезия?, анатомия, ['Резной нерв' 'Подбородочный нерв' 'Щечный нерв' 'Язычный нерв'],1,Sheet1,-2.6230554580688477,-0.00904501882092706,-9.786458015441895,-7.875,-6.735937595367432,-5.844907283782959,-5.035615921020508,-4.356326103210449,-3.7626140117645264,-3.2900922298431396,-2.91975736618042,-2.6238884925842285,-2.9231770038604736,-2.018930196762085,-1.4384276866912842,-1.071589708328247,-0.838402271270752,-0.6771701574325562,-0.5484886169433594,-0.4350552558898926,-0.32920098304748535,-0.22305695712566376
 При рождении наименее развитой частью мозга является..., профессиональная_психология, ['зрительная система' 'кора' 'ствол головного мозга' 'мозжечок'],1,Sheet1,-3.756333112716675,-0.04317624267490431,-12.4375,-9.65625,-8.15625,-7.0625,-6.346875190734863,-5.643229007720947,-5.1104912757873535,-4.6181640625,-4.163628578186035,-3.7569336891174316,-2.375,-1.81640625,-1.40234375,-1.070556640625,-0.841015636920929,-0.6555989384651184,-0.4715401828289032,-0.326171875,-0.2083333283662796,-0.07421875
Компания может выбрать одну из трех инвестиционных схем. Вариант I гарантирует доходность инвестиций в размере 25 000 долларов. Вариант II дает 50%-ную вероятность возврата 50 000 долларов и 50%-ную вероятность возврата 10 000 долларов. Вариант III дает 5%-ную вероятность возврата 100 000 долларов и 95%-ную вероятность ничего не получить. Какой вариант следует выбрать компании?, статистика для старшей школы," ['Вариант II, если цель — максимизировать ожидаемую прибыль' 'Вариант I, если для погашения просроченного кредита необходимо не менее 20 000 долларов' 'Вариант III, если для погашения просроченного кредита необходимо не менее 80 000 долларов' 'Все вышеперечисленные ответы верны.']",3,Sheet1,-1.3531132936477661,-0.005244625169177388,-6.631249904632568,-5.0390625,-4.030729293823242,-3.2899413108825684,-2.6983203887939453,-2.2694661617279053,-1.9509347677230835,-1.7083282470703125,-1.5185140371322632,-1.3531312942504883,-3.401171922683716,-1.9004943370819092,-1.2629547119140625,-0.9380210638046265,-0.7347137331962585,-0.585967481136322,-0.46911054849624634,-0.36896783113479614,-0.2791432738304138,-0.1737879365682602
" Байер утверждает, что подлинные моральные правила:", философия, ['должно быть на благо человечества.' 'должно учитывать интересы всех чувствующих существ.' 'должно учитывать интересы всех живых существ.' 'в первую очередь направлены на продвижение собственных интересов.'],0,Sheet1,-4.639533996582031,-0.05589799995881965,-8.875,-8.78125,-8.166666984558105,-7.828125,-7.618750095367432,-7.161458492279053,-6.767857074737549,-6.349609375,-5.658745765686035,-4.636094570159912,-1.234375,-1.21875,-1.1354166269302368,-1.0830078125,-1.0226562023162842,-0.8821614384651184,-0.7707868218421936,-0.6641845703125,-0.5652126669883728,-0.3773970305919647
"Житель штата владел большим участком девственного леса. Он передал этот участок «населению штата в полную собственность; при условии, однако, что если какая-либо часть указанного участка когда-либо будет использована или освоена в коммерческих целях или иным образом изменена из своего естественного состояния (за исключением рекреационных, научных или образовательных целей), то даритель или его правопреемники могут вновь вступить во владение им на основании своего прежнего имущества». Согласно законодательству штата, передача недвижимого имущества «населению» штата считается передачей права собственности штату, рассматриваемому как юридическое лицо, и хранение такого имущества находится в ведении назначенного должностного лица, известного как директор по охране окружающей среды. Директор предоставил лесозаготовительной компании право вырубки леса на отдаленном участке участка, а также сопутствующие сервитуты проезда. Участок, который лесозаготовительная компания должна была расчистить, должен был использоваться для создания государственной зоны отдыха. После предоставления права лесозаготовительная компания приступила к вырубке леса, который впоследствии продала за 10 000 долларов. Когда житель узнал, что лесозаготовительная компания вырубает и продает древесину, он уведомил директора о необходимости прекратить дальнейшую эксплуатацию земли. Какой результат следует ожидать в иске о выселении, поданном жителем против государства с целью возвращения участка?",профессиональное_право," [«Житель добьётся успеха, поскольку продажа древесины лесозаготовительной компанией даст ему право повторно въехать на территорию и прекратить действие предоставленного штату права собственности». «Житель добьётся успеха, поскольку продажа древесины лесозаготовительной компанией будет означать автоматическое прекращение права собственности штата». «Житель не добьётся успеха, поскольку директор одобрил вырубку леса для обустройства территории в рекреационных целях». «Житель не добьётся успеха, поскольку сохранение за ним права на прекращение действия права собственности будет нарушением правила о запрете вечных ограничений».]",2,Sheet1,-2.1464955806732178,-0.002123141029350364,-7.6884765625,-6.406730651855469,-5.505638122558594,-4.767908573150635,-4.105157375335693,-3.537780523300171,-3.057912826538086,-2.689387321472168,-2.387937068939209,-2.1462135314941406,-1.779296875,-1.2289363145828247,-0.8689715266227722,-0.6399518251419067,-0.4915817379951477,-0.3788706362247467,-0.28286856412887573,-0.19752813875675201,-0.11294092237949371,-0.02283206395804882
"Какова цена пятилетней облигации (номинальная стоимость 100 долларов), не выплачивающей купоны, если ее доходность составляет 4%?", профессиональный_бухгалтерский_учет, ['$100' '$85' '$82' '$75'],2,Sheet1,-2.2258803844451904,-0.013825344002765158,-8.260416984558105,-6.816964149475098,-5.8671875,-4.931919574737549,-4.314338207244873,-3.632998466491699,-3.22265625,-2.7766287326812744,-2.510887861251831,-2.2250375747680664,-2.0234375,-1.4514509439468384,-1.1833984851837158,-0.8645368218421936,-0.6963177919387817,-0.5392252802848816,-0.4440714418888092,-0.3343157172203064,-0.25615864992141724,-0.15489676594734192
Клинический случай черепно-мозговой травмы Финеаса Гейджа имеет важное значение по какой из следующих причин?, психология старшей школы," «Авария с участием Гейджа стала одним из первых случаев, когда лечение проводилось с помощью препаратов, изменяющих нейротрансмиттеры в головном мозге». «Это был один из первых хорошо задокументированных примеров связи определенной области мозга с рядом физических и эмоциональных изменений». «Эта авария предоставила психиатрам одну из первых возможностей лечить пациента с повреждением головного мозга с помощью психотерапевтических методов». «Компьютерная томография была впервые использована в случае Финеаса Гейджа для документирования степени повреждения головного мозга».",1,Sheet1,-3.030944347381592,-0.021344678502687266,-10.09375,-8.875,-7.68359375,-6.837500095367432,-5.899038314819336,-5.057861328125,-4.522189617156982,-3.8858585357666016,-3.4061481952667236,-3.0288357734680176,-3.234375,-2.815624952316284,-2.283203125,-1.878515601158142,-1.424832820892334,-1.1195907592773438,-0.9695298671722412,-0.7878243327140808,-0.6312408447265625,-0.4834119975566864
"Этот вопрос касается следующей информации: «Вчера, 7 декабря 1941 года — даты, которая войдет в историю как день позора, — Соединенные Штаты Америки подверглись внезапному и преднамеренному нападению военно-морских и воздушных сил Японской империи. Соединенные Штаты находились в мире с этой страной и, по просьбе Японии, все еще вели переговоры с ее правительством и императором, стремясь к поддержанию мира в Тихом океане. Действительно, через час после начала бомбардировок японскими авиагруппами… японский посол в Соединенных Штатах и его коллега передали государственному секретарю официальный ответ на недавнее американское сообщение. Хотя в этом ответе говорилось, что продолжение существующих дипломатических переговоров представляется бесполезным, он не содержал угроз или намеков на войну или вооруженное нападение… Вчерашнее нападение… нанесло серьезный ущерб американским военно-морским и военным силам. Погибло очень много американцев. Кроме того, сообщается о торпедировании американских кораблей в открытом море… Как главнокомандующий армией и флотом, я распорядился принять все меры для нашей обороны». Президент Франклин Д. Рузвельт, радиообращение, 8 декабря 1941 г. Приведенные выше заявления, скорее всего, были сделаны после какого крупного события?",история США в старшей школе, ['Бомбардировка Перл-Харбора' 'Потопление линкора USS Maine' 'Бомбардировка линкора USS Liberty' 'Боксерское восстание'],0,Sheet1,-1.9914253950119019,-0.0020341423850989806,-8.003676414489746,-6.394021511077881,-5.310847282409668,-4.5300612449646,-3.8773481845855713,-3.306283712387085,-2.8527064323425293,-2.494598865509033,-2.2151801586151123,-1.9917470216751099,-1.861443042755127,-1.2500282526016235,-0.8694754242897034,-0.6475991606712341,-0.5025516748428345,-0.39681318402290344,-0.30945339798927307,-0.22547322511672974,-0.1401587277650833,-0.041086070239543915
"Рассчитайте отношение потока солнечного излучения на поверхности Меркурия в перигелии (0,304 а.е.) к потоку в афелии (0,456 а.е.).", астрономия, ['4:1' '1:2' '6:5' '9:4'],3,Sheet1,-1.4827957153320312,-0.010156135036520762,-6.046875,-5.13368034362793,-4.213169574737549,-3.4564144611358643,-2.8671061992645264,-2.5087192058563232,-2.150198221206665,-1.8711049556732178,-1.6542586088180542,-1.4819399118423462,-3.078125,-1.7152235507965088,-1.1049652099609375,-0.8060318827629089,-0.621649444103241,-0.5153688788414001,-0.4025407135486603,-0.3015690743923187,-0.20659193396568298,-0.11150423437356949
" В отделение неотложной помощи доставлен 13-месячный ребенок с крапивницей, отеком губ и затруднением дыхания сразу после употребления яйца. Вакцинация против какого из следующих заболеваний представляет потенциальный риск развития реакции гиперчувствительности?",профессиональная_медицина, ['Гепатит' 'Грипп' 'Коклюш' 'Полиомиелит'],1,Sheet1,-2.3633716106414795,-0.00878576806929918,-8.774999618530273,-7.203125,-6.103125095367432,-5.150000095367432,-4.34765625,-3.8306450843811035,-3.3815646171569824,-2.9901866912841797,-2.67167592048645,-2.364004373550415,-2.3812499046325684,-1.687109351158142,-1.244726538658142,-0.9159179925918579,-0.6673489809036255,-0.5111989378929138,-0.3907741904258728,-0.28966987133026123,-0.19831648468971252,-0.08724271506071091
"71-летняя женщина доставлена в отделение неотложной помощи дочерью для оценки ее психического состояния. Дочь говорит: «Я сегодня впервые за 6 месяцев навестила маму; ее память ухудшилась, счета неоплачены, и в доме необычайно беспорядок». Пациентка отвечает: «Я совершенно здорова». В анамнезе – гипертония, диагностированная более 25 лет назад, и два небольших инсульта, произошедшие 3 года и 7 месяцев назад. Дочь передает вам три пустые бутылочки из-под лекарств из дома матери: метопролол, гидрохлоротиазид и аспирин. Рост пациентки 165 см (5 футов 5 дюймов), вес 59 кг (130 фунтов); ИМТ 22 кг/м2. Жизненные показатели: температура 36,4°C (97,6°F), пульс 76 ударов в минуту, частота дыхания 16 в минуту, артериальное давление 196/112 мм рт. ст. Пульсоксиметрия на воздухе показывает сатурацию кислорода 93%. Мышечная сила левой руки составляет 1/5. Сила правой конечности — 4/5. Пациентка ориентируется только в себе; она не знает дня недели или сегодняшней даты. Она помнит 0 из 3 слов через 5 минут, не может назвать 2 предмета, правильно нарисовать переплетающиеся пятиугольники или считать в обратном порядке по семеркам. Общий анализ крови, показатели функции почек, печени и мочи находятся в пределах нормы. ЭКГ не выявляет отклонений. Какая из следующих причин является наиболее вероятной основной причиной симптомов пациентки?",профессиональная_медицина, ['Боковой амиотрофический склероз' 'Кортикальная базально-ганглиозная дегенерация' 'Нейросифилис' 'Сосудистая деменция'],3,Sheet1,-1.9240736961364746,-0.0017799016615508553,-7.776442527770996,-6.112580299377441,-5.091212749481201,-4.307591915130615,-3.675961494445801,-3.16412091255188,-2.7387802600860596,-2.4034337997436523,-2.1376678943634033,-1.924040675163269,-2.5386619567871094,-1.7286157608032227,-1.2169345617294312,-0.9029157757759094,-0.7038354873657227,-0.5573829412460327,-0.43733859062194824,-0.33358022570610046,-0.23801103234291077,-0.13481289148330688
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я знаю, с чем Карла сталкивается дома со своим отцом, поэтому я закрою глаза на её плохое поведение. Сценарий 2 | Я решил разжечь огонь в печи.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",3,Sheet1,-2.270526647567749,-0.006658435916620965,-8.221590995788574,-7.044034004211426,-6.04356050491333,-5.1438212394714355,-4.360653400421143,-3.7293145656585693,-3.2308619022369385,-2.8374245166778564,-2.5227832794189453,-2.270504951477051,-2.782670497894287,-1.780717372894287,-1.2764467000961304,-0.9489829540252686,-0.7424915432929993,-0.5795177221298218,-0.4491696059703827,-0.33767005801200867,-0.24072882533073425,-0.13782070577144623
"На какой стадии развития расовой/культурной идентичности, согласно Аткинсону, Мортену и Сью, человек, активно отвергающий доминирующую культуру и придерживающийся жестких позитивных убеждений в отношении культуры меньшинства?", профессиональная_психология, ['Конформизм' 'Диссонанс' 'Сопротивление и погружение' 'Интроспекция'],2,Sheet1,-2.52822208404541,-0.010850738558134808,-7.400000095367432,-6.704545497894287,-6.069852828979492,-5.457386493682861,-4.822823524475098,-4.148782253265381,-3.6686699390411377,-3.1990017890930176,-2.825061798095703,-2.5278234481811523,-2.4453125,-1.5969460010528564,-1.1529756784439087,-0.8993446826934814,-0.6993952989578247,-0.5553498864173889,-0.45174935460090637,-0.33296576142311096,-0.23068058490753174,-0.12032385170459747
" Что следует учитывать при использовании визуальных методов в исследовательском проекте, помимо соблюдения правовых норм?", философия, ['Что представляет собой общественное пространство' 'Защита людей от потенциального вреда' 'Любой риск нарушения неприкосновенности частной жизни' 'Все вышеперечисленное'],3,Sheet1,-3.411844253540039,-0.023368796257123556,-8.25,-7.166666507720947,-6.731249809265137,-6.494791507720947,-5.71875,-5.1328125,-4.853693008422852,-4.332932472229004,-3.8446614742279053,-3.413602828979492,-1.1953125,-0.9453125,-0.7369140386581421,-0.6398112177848816,-0.47076416015625,-0.32905274629592896,-0.2705521881580353,-0.17529296875,-0.09658203274011612,-0.005256203934550285
 Как называются три последовательных страйка в боулинге?, разнообразный, ['яхзи' 'маллиган' 'индейка' 'туз'],2,Sheet1,-3.9499504566192627,-0.044381465804710814,-11.0,-10.96875,-8.96875,-8.387499809265137,-7.379464149475098,-6.6640625,-6.02734375,-4.999556064605713,-4.600504398345947,-3.9476144313812256,-6.71875,-5.03125,-3.0986328125,-2.491992235183716,-1.7464425563812256,-1.50042724609375,-1.3070204257965088,-0.9980024695396423,-0.8728434443473816,-0.6491001844406128
"В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам США по состоянию на 2020 год? Сценарий 1 | Я срубил деревья, предназначенные для заготовки древесины. Сценарий 2 | Во время посещения Лувра я прикоснулся ко многим картинам.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",2,Sheet1,-2.1274893283843994,-0.006388856841995193,-8.034375190734863,-6.903124809265137,-5.917708396911621,-4.986523628234863,-4.189609527587891,-3.557893991470337,-3.0640554428100586,-2.6847941875457764,-2.3867430686950684,-2.126800775527954,-3.257031202316284,-2.002734422683716,-1.389716625213623,-1.0351921319961548,-0.816190779209137,-0.6559158563613892,-0.5271270871162415,-0.41724205017089844,-0.31671515107154846,-0.2057981640100479
 Какой витамин является основным жирорастворимым антиоксидантом в клеточных мембранах?, питание, ['Витамин А' 'Витамин D' 'Витамин E' 'Витамин K'],2,Sheet1,-1.4015921354293823,-0.011979419960934892,-8.296875,-6.2578125,-4.464285850524902,-3.722222328186035,-2.8048298358917236,-2.4058032035827637,-2.1055641174316406,-1.773106575012207,-1.6042393445968628,-1.4037094116210938,-1.734375,-1.2265625,-0.7004307508468628,-0.5398288369178772,-0.3960215151309967,-0.331268310546875,-0.2805213928222656,-0.2150525599718094,-0.1786673367023468,-0.08667246252298355
" Когда в результате термоядерной реакции пара изотопов водорода превращается в альфа-частицу и нейтрон, большая часть высвобождаемой энергии преобразуется в альфа-частицу и нейтрон.",концептуальная_физика, ['Гамма-излучение'. 'Кинетическая энергия альфа-частицы'. 'Кинетическая энергия нейтрона'. 'Все эти величины примерно одинаковы'.],2,Sheet1,-1.420794129371643,-0.007981989490851927,-8.168749809265137,-6.03125,-4.6854166984558105,-3.523902416229248,-2.879300594329834,-2.4246628284454346,-2.036248207092285,-1.7947641611099243,-1.6046596765518188,-1.4230000972747803,-1.740625023841858,-1.017694115638733,-0.6692097783088684,-0.4601614773273468,-0.3553678095340729,-0.2765975594520569,-0.19801288843154907,-0.136167973279953,-0.07019432634115219,0.038209158927202225
"Какой из перечисленных факторов НЕ является важным экологическим фактором, влияющим на сельское хозяйство страны?", география для старшей школы, ['Количество дней без заморозков в году' 'Наличие достаточного количества осадков' 'Надежность достаточного количества осадков' 'Объем произведенных в стране удобрений'],3,Sheet1,-1.748407006263733,-0.011975390453861184,-9.4375,-6.762499809265137,-5.505859375,-4.5849609375,-3.598482608795166,-2.94537353515625,-2.621107339859009,-2.247772216796875,-1.9668006896972656,-1.7482672929763794,-5.484375,-2.9984374046325684,-1.953369140625,-1.567590355873108,-1.201068639755249,-0.9685134887695312,-0.8496975302696228,-0.701479971408844,-0.5696055293083191,-0.45314761996269226
" Хейр утверждает, что как только два человека придут к согласию относительно значения слова «должен»:", философия," ['Они будут разделять одни и те же моральные взгляды.' 'Они будут расходиться во мнениях по моральным вопросам только в том случае, если будут расходиться во мнениях относительно фактов дела.' 'Они будут расходиться во мнениях по моральным вопросам только в том случае, если у них будут разные склонности.' 'Ничего из вышеперечисленного.']",3,Sheet1,-4.003293991088867,-0.030327984780976265,-9.5,-8.4453125,-7.859375,-7.28515625,-6.800000190734863,-6.278645992279053,-5.663504600524902,-5.15625,-4.662652015686035,-4.004225730895996,-2.640625,-1.9267578125,-1.4342447519302368,-1.169189453125,-0.969775378704071,-0.806732177734375,-0.6805855631828308,-0.5644454956054688,-0.4625583291053772,-0.2212553471326828
"Этот вопрос относится к следующей информации. Оба автора ниже говорили о Французской революции. Это было лучшее время, это было худшее время, это был век мудрости, это был век глупости, это была эпоха веры, это была эпоха неверия, это было время Света, это было время Тьмы, это была весна надежды, это была зима отчаяния, у нас было всё перед нами, у нас не было ничего перед нами, мы все шли прямо в рай, мы все шли прямо в обратную сторону — короче говоря, этот период был настолько похож на нынешний, что некоторые из его самых шумных авторитетов настаивали на том, чтобы его воспринимали, к добру или к злу, только в превосходной степени сравнения. На английском троне были король с большой челюстью и королева с простым лицом; на французском троне были король с большой челюстью и королева с прекрасным лицом. В обеих странах было яснее, чем кристалл… что в целом всё устоялось навсегда. — «Повесть о двух городах» Чарльза Диккенса. Блаженство было в тот рассвет быть живым. Но быть молодым было сродни раю. — «Прелюдия» Уильяма Вордсворта. Большинство революций порождают сильную лидерскую фигуру; Французская революция позволила кому из следующих прийти к власти?",история мира в старшей школе, ['Король Людовик XVI' 'Робеспьер' 'Жан Лафитт' 'Лафайет'],1,Sheet1,-2.523745536804199,-0.0030516874689288987,-9.442540168762207,-7.9151787757873535,-6.747506618499756,-5.703186988830566,-4.827729225158691,-4.146597862243652,-3.5892648696899414,-3.160386800765991,-2.807316780090332,-2.523228406906128,-2.5619959831237793,-1.745721697807312,-1.256493091583252,-0.9300825595855713,-0.7181069850921631,-0.5634970664978027,-0.43341243267059326,-0.32657864689826965,-0.22798940539360046,-0.12002746760845184
 Какого персонажа Вуди заменил в телешоу «Cheers»?, разнообразный, ['Тренер' 'Диана' 'Норм' 'Фрейзер'],0,Sheet1,-4.3158674240112305,-0.04960767154035897,-11.75,-10.833333015441895,-10.34375,-9.03125,-8.486607551574707,-6.93663215637207,-6.346093654632568,-5.388020992279053,-4.975924015045166,-4.312986373901367,-3.125,-2.1380207538604736,-1.865234375,-1.3896484375,-1.2092634439468384,-0.9377577304840088,-0.836901843547821,-0.6555888056755066,-0.5758619904518127,-0.3805908262729645
" Студент толкает шайбу по столу, перемещая её из положения x = 0 в положение x = 0,2 м. После того, как он отпускает шайбу, она продолжает движение по столу и останавливается в положении x = 1,2 м. Когда шайба находится в положении x = 1,0 м, какое из следующих утверждений о результирующей силе, действующей на шайбу, является верным?", физика в старшей школе,"['Результирующая сила направлена в отрицательном направлении, потому что шайба движется в положительном направлении, но замедляется.' 'Результирующая сила направлена вниз, потому что шайба находится близко к Земле, где ускорение свободного падения составляет 10 м/с² вниз.' 'Результирующая сила направлена в положительном направлении, потому что толчок ученика заставил шайбу ускориться в положительном направлении.' 'Результирующая сила равна нулю, потому что толчок ученика в положительном направлении должен равняться силе трения в отрицательном направлении.']",0,Sheet1,-1.2790765762329102,-0.004551873936771922,-6.409375190734863,-4.642187595367432,-3.6705729961395264,-3.019335985183716,-2.487898349761963,-2.1214699745178223,-1.83383309841156,-1.6100038290023804,-1.4335933923721313,-1.2789901494979858,-1.6628906726837158,-0.9658466577529907,-0.6372138857841492,-0.46290796995162964,-0.3384020924568176,-0.24946707487106323,-0.17371411621570587,-0.10324689745903015,-0.035217538475990295,0.03870144858956337
 Каким образом ограничительная фискальная политика в Соединенных Штатах может повлиять на внутренние процентные ставки и международную стоимость доллара?, макроэкономика для старшей школы,"['Процентные ставки растут, а доллар обесценивается.' 'Процентные ставки снижаются, а доллар укрепляется.' 'Процентные ставки растут, а доллар укрепляется.' 'Процентные ставки снижаются, а доллар обесценивается.']",3,Sheet1,-2.1329352855682373,-0.012258248767633548,-8.020833015441895,-6.75,-5.834374904632568,-4.841517925262451,-4.237591743469238,-3.545433521270752,-3.1090545654296875,-2.6662914752960205,-2.4082632064819336,-2.133033037185669,-1.59375,-1.0491071939468384,-0.788818359375,-0.5555071234703064,-0.4496065080165863,-0.349365234375,-0.2899881899356842,-0.19781494140625,-0.125244140625,-0.02175641804933548
" Наименьшая критическая частота обусловлена нулем и может присутствовать в начале координат или вблизи него, в зависимости от типа сети.", электротехника, ['LC-цепь.' «RC-цепь». «Цепь RLC». «Цепь RL».],3,Sheet1,-2.8978264331817627,-0.01845749320497938,-8.75,-7.635416507720947,-6.777777671813965,-5.84254789352417,-5.30078125,-4.7458882331848145,-4.08678674697876,-3.659630298614502,-3.295692205429077,-2.89715576171875,-2.1549479961395264,-1.3704427480697632,-0.9900173544883728,-0.7094163298606873,-0.5601959228515625,-0.42931485176086426,-0.28612220287323,-0.19496506452560425,-0.11364325135946274,-0.004224372562021017
" Считалось, что капиталистический класс середины XX века присоединился к высшему классу, потому что они:",социология," [«участвовали в тех же развлекательных мероприятиях и событиях, что и представители «светского календаря»», «подражали образу жизни и культурным ценностям традиционной аристократии», «владели компаниями и финансовыми активами, которые приносили богатство через корпорации», «имели прямую личную собственность на землю и предприятия в качестве материальных активов»]",2,Sheet1,-2.660065174102783,-0.02046203980079064,-10.125,-8.350000381469727,-7.28125,-6.035511493682861,-5.101004600524902,-4.408088207244873,-3.826953172683716,-3.3445992469787598,-2.965350866317749,-2.6591269969940186,-1.6015625,-1.095312476158142,-0.83251953125,-0.6044256091117859,-0.4598563015460968,-0.3519933223724365,-0.26750487089157104,-0.19193698465824127,-0.10879281908273697,-0.01847050152719021
 Сколько диагоналей в правильном восьмиугольнике?, математика для старшей школы, ['8' '16' '17' '20'],3,Sheet1,-1.9746153354644775,-0.024995130828664273,-9.25,-6.84375,-6.020833492279053,-4.79296875,-3.8814454078674316,-3.267578125,-2.8233816623687744,-2.470458984375,-2.1959636211395264,-1.9763672351837158,-0.953125,-0.841796875,-0.6490885615348816,-0.4793701171875,-0.3758789002895355,-0.3050943911075592,-0.2135184109210968,-0.14410400390625,-0.0818684920668602,-0.02778320387005806
 Какой из следующих инструментов является предпочтительным для чистки полости рта?, клинические_знания,"['Маленькая мягкая зубная щетка.' 'Палец в перчатке, обернутый марлей.' 'Пинцет, обернутый марлей.' 'Пенопластовая палочка.']",0,Sheet1,-2.139040231704712,-0.018127459590717897,-7.75,-6.90625,-6.2109375,-4.838541507720947,-4.375,-3.5232205390930176,-3.200390577316284,-2.6746013164520264,-2.46946120262146,-2.140199899673462,-1.09375,-0.8053385615348816,-0.597747802734375,-0.3809000551700592,-0.3026297390460968,-0.1737467497587204,-0.10793457180261612,0.0021769206505268812,0.057297926396131516,0.19418945908546448
" Какая из следующих пар ученых стала пионером экологической дисциплины, известной как островная биогеография?", биология для старшей школы, ['Роберт Макартур и Э. О. Уилсон' 'Джеймс Уотсон и Фрэнсис Крик' 'Маттиас Шлейден и Теодор Шванн' 'Альфред Херши и Марта Чейз'],0,Sheet1,-2.8671512603759766,-0.020479651859828404,-9.03125,-8.46875,-7.3973212242126465,-6.592013835906982,-5.468099117279053,-4.815848350524902,-4.26708984375,-3.6174957752227783,-3.275902271270752,-2.8667385578155518,-1.90234375,-1.552734375,-1.2530691623687744,-0.9751790165901184,-0.7157389521598816,-0.5915178656578064,-0.4891357421875,-0.3559827208518982,-0.2799479067325592,-0.12939453125
 Когда располагаемый доход увеличивается на $X, макроэкономика для старшей школы,['потребление увеличивается более чем на $X.' 'сбережения увеличиваются менее чем на $X.' 'сбережения увеличиваются ровно на $X.' 'сбережения остаются неизменными.'],1,Sheet1,-4.148716449737549,-0.05121872160169813,-10.0,-10.0,-9.0625,-9.0625,-7.286458492279053,-6.25390625,-6.25390625,-5.53125,-4.809895992279053,-4.1463446617126465,-5.03125,-5.03125,-3.046875,-3.046875,-2.1438801288604736,-1.68994140625,-1.68994140625,-1.299218773841858,-1.0201822519302368,-0.7946428656578064
" Какое из следующих утверждений лучше всего объясняет, почему ферменты эффективно способствуют протеканию химических реакций?", колледж_биология,"['Они повышают температуру реакционной смеси, тем самым ускоряя превращение реагентов в продукты.' 'Они изменяют константу равновесия реакции (K_eq), так что больше реагентов может быть превращено в продукты.' 'Они увеличивают максимальную скорость химической реакции (V_max).' 'Они снижают энергию активации, тем самым ускоряя превращение реагентов в продукты.']",3,Sheet1,-1.6626999378204346,-0.010391874611377716,-6.3125,-5.6875,-5.078125,-3.88671875,-3.313565254211426,-2.882962703704834,-2.3851318359375,-2.121410846710205,-1.9096587896347046,-1.66057288646698,-2.3828125,-1.599609375,-1.1547037363052368,-0.7565375566482544,-0.6058460474014282,-0.4777080714702606,-0.3051300048828125,-0.2080756276845932,-0.12183837592601776,0.044189453125
" В организации существует три основных типа ситуаций совершения покупок, которые Робинсон, Фарис и Винд (1967) называют _____________.", маркетинг, ['Повторные покупки'. 'Этапы покупки'. 'Классы покупки'. 'Тендеры'.],2,Sheet1,-3.7905642986297607,-0.023398545053270128,-12.104166984558105,-10.010416984558105,-8.996527671813965,-7.8125,-6.796875,-6.013888835906982,-5.358631134033203,-4.799153804779053,-4.3341288566589355,-3.7898097038269043,-3.4348957538604736,-2.3092448711395264,-1.7994791269302368,-1.4517415761947632,-1.1741373538970947,-0.9407416582107544,-0.7481282353401184,-0.582183837890625,-0.4306911826133728,-0.2551584541797638
" Маркиз утверждает, что аборт морально неправилен, потому что", моральные_споры," ['доказательство того, что плод является личностью с полными моральными правами, включая право на жизнь'. 'апеллирование к тому факту, что плод является биологически человеком, и утверждение, что убийство биологически человеческих существ является заведомо морально неправильным'. 'доказательство того, что плод обладает сознанием и что причинение вреда и убийство разумных существ является морально неправильным'. 'ничего из вышеперечисленного']",3,Sheet1,-3.636463165283203,-0.04040514628092448,-10.9375,-9.90625,-9.21875,-8.550000190734863,-6.950892925262451,-6.19482421875,-5.593316078186035,-4.612127304077148,-4.237020015716553,-3.634495258331299,-2.203125,-2.0546875,-1.65234375,-1.5234375,-1.0514090061187744,-0.88287353515625,-0.7428928017616272,-0.53466796875,-0.4458414614200592,-0.2738909125328064
